Datetime,county,state,fips,cases,deaths
05/01/2020,Lancaster,Nebraska,31109,281,1
05/02/2020,Lancaster,Nebraska,31109,299,1
05/03/2020,Lancaster,Nebraska,31109,330,1
05/04/2020,Lancaster,Nebraska,31109,394,1
05/05/2020,Lancaster,Nebraska,31109,441,1
05/06/2020,Lancaster,Nebraska,31109,462,1
05/07/2020,Lancaster,Nebraska,31109,509,2
05/08/2020,Lancaster,Nebraska,31109,547,2
05/09/2020,Lancaster,Nebraska,31109,606,2
05/10/2020,Lancaster,Nebraska,31109,607,2
05/11/2020,Lancaster,Nebraska,31109,647,2
05/12/2020,Lancaster,Nebraska,31109,665,3
05/13/2020,Lancaster,Nebraska,31109,687,3
05/14/2020,Lancaster,Nebraska,31109,701,5
05/15/2020,Lancaster,Nebraska,31109,735,5
05/16/2020,Lancaster,Nebraska,31109,791,5
05/17/2020,Lancaster,Nebraska,31109,800,5
05/18/2020,Lancaster,Nebraska,31109,892,6
05/19/2020,Lancaster,Nebraska,31109,912,7
05/20/2020,Lancaster,Nebraska,31109,934,7
05/21/2020,Lancaster,Nebraska,31109,995,7
05/22/2020,Lancaster,Nebraska,31109,1005,8
05/23/2020,Lancaster,Nebraska,31109,1033,8
05/24/2020,Lancaster,Nebraska,31109,1056,8
05/25/2020,Lancaster,Nebraska,31109,1090,8
05/26/2020,Lancaster,Nebraska,31109,1098,9
05/27/2020,Lancaster,Nebraska,31109,1120,9
05/28/2020,Lancaster,Nebraska,31109,1140,9
05/29/2020,Lancaster,Nebraska,31109,1176,9
05/30/2020,Lancaster,Nebraska,31109,1195,9
05/31/2020,Lancaster,Nebraska,31109,1212,9
06/01/2020,Lancaster,Nebraska,31109,1228,9
06/02/2020,Lancaster,Nebraska,31109,1245,9
06/03/2020,Lancaster,Nebraska,31109,1263,9
06/04/2020,Lancaster,Nebraska,31109,1278,10
06/05/2020,Lancaster,Nebraska,31109,1310,10
06/06/2020,Lancaster,Nebraska,31109,1340,10
06/07/2020,Lancaster,Nebraska,31109,1356,10
06/08/2020,Lancaster,Nebraska,31109,1372,10
06/09/2020,Lancaster,Nebraska,31109,1376,10
06/10/2020,Lancaster,Nebraska,31109,1397,10
06/11/2020,Lancaster,Nebraska,31109,1429,10
06/12/2020,Lancaster,Nebraska,31109,1445,10
06/13/2020,Lancaster,Nebraska,31109,1464,10
06/14/2020,Lancaster,Nebraska,31109,1472,10
06/15/2020,Lancaster,Nebraska,31109,1487,10
06/16/2020,Lancaster,Nebraska,31109,1521,10
06/17/2020,Lancaster,Nebraska,31109,1545,10
06/18/2020,Lancaster,Nebraska,31109,1569,10
06/19/2020,Lancaster,Nebraska,31109,1588,10
06/20/2020,Lancaster,Nebraska,31109,1603,10
06/21/2020,Lancaster,Nebraska,31109,1611,10
06/22/2020,Lancaster,Nebraska,31109,1623,10
06/23/2020,Lancaster,Nebraska,31109,1634,11
06/24/2020,Lancaster,Nebraska,31109,1649,11
06/25/2020,Lancaster,Nebraska,31109,1660,12
06/26/2020,Lancaster,Nebraska,31109,1670,12
06/27/2020,Lancaster,Nebraska,31109,1688,12
06/28/2020,Lancaster,Nebraska,31109,1697,12
06/29/2020,Lancaster,Nebraska,31109,1718,12
06/30/2020,Lancaster,Nebraska,31109,1728,12
07/01/2020,Lancaster,Nebraska,31109,1751,13
07/02/2020,Lancaster,Nebraska,31109,1766,13
07/03/2020,Lancaster,Nebraska,31109,1791,13
07/04/2020,Lancaster,Nebraska,31109,1838,13
07/05/2020,Lancaster,Nebraska,31109,1866,13
07/06/2020,Lancaster,Nebraska,31109,1882,13
07/07/2020,Lancaster,Nebraska,31109,1909,13
07/08/2020,Lancaster,Nebraska,31109,1963,13
07/09/2020,Lancaster,Nebraska,31109,1998,13
07/10/2020,Lancaster,Nebraska,31109,2028,13
07/11/2020,Lancaster,Nebraska,31109,2076,13
07/12/2020,Lancaster,Nebraska,31109,2129,13
07/13/2020,Lancaster,Nebraska,31109,2182,13
07/14/2020,Lancaster,Nebraska,31109,2226,13
07/15/2020,Lancaster,Nebraska,31109,2266,13
07/16/2020,Lancaster,Nebraska,31109,2316,13
07/17/2020,Lancaster,Nebraska,31109,2363,14
07/18/2020,Lancaster,Nebraska,31109,2401,14
07/19/2020,Lancaster,Nebraska,31109,2430,14
07/20/2020,Lancaster,Nebraska,31109,2482,14
07/21/2020,Lancaster,Nebraska,31109,2541,14
07/22/2020,Lancaster,Nebraska,31109,2605,14
07/23/2020,Lancaster,Nebraska,31109,2669,14
07/24/2020,Lancaster,Nebraska,31109,2718,14
07/25/2020,Lancaster,Nebraska,31109,2758,14
07/26/2020,Lancaster,Nebraska,31109,2802,14
07/27/2020,Lancaster,Nebraska,31109,2837,14
07/28/2020,Lancaster,Nebraska,31109,2895,14
07/29/2020,Lancaster,Nebraska,31109,2945,15
07/30/2020,Lancaster,Nebraska,31109,2992,15
07/31/2020,Lancaster,Nebraska,31109,3028,15
08/01/2020,Lancaster,Nebraska,31109,3074,15
08/02/2020,Lancaster,Nebraska,31109,3118,15
08/03/2020,Lancaster,Nebraska,31109,3163,15
08/04/2020,Lancaster,Nebraska,31109,3195,16
08/05/2020,Lancaster,Nebraska,31109,3215,17
08/06/2020,Lancaster,Nebraska,31109,3244,17
08/07/2020,Lancaster,Nebraska,31109,3266,17
08/08/2020,Lancaster,Nebraska,31109,3287,17
08/09/2020,Lancaster,Nebraska,31109,3313,17
08/10/2020,Lancaster,Nebraska,31109,3337,17
08/11/2020,Lancaster,Nebraska,31109,3361,19
08/12/2020,Lancaster,Nebraska,31109,3384,19
08/13/2020,Lancaster,Nebraska,31109,3415,19
08/14/2020,Lancaster,Nebraska,31109,3431,19
08/15/2020,Lancaster,Nebraska,31109,3452,19
08/16/2020,Lancaster,Nebraska,31109,3467,19
08/17/2020,Lancaster,Nebraska,31109,3486,19
08/18/2020,Lancaster,Nebraska,31109,3501,20
08/19/2020,Lancaster,Nebraska,31109,3520,20
08/20/2020,Lancaster,Nebraska,31109,3553,20
08/21/2020,Lancaster,Nebraska,31109,3591,20
08/22/2020,Lancaster,Nebraska,31109,3618,20
08/23/2020,Lancaster,Nebraska,31109,3635,20
08/24/2020,Lancaster,Nebraska,31109,3641,20
08/25/2020,Lancaster,Nebraska,31109,3707,20
08/26/2020,Lancaster,Nebraska,31109,3741,20
08/27/2020,Lancaster,Nebraska,31109,3802,20
08/28/2020,Lancaster,Nebraska,31109,3875,21
08/29/2020,Lancaster,Nebraska,31109,3923,21
08/30/2020,Lancaster,Nebraska,31109,3990,21
08/31/2020,Lancaster,Nebraska,31109,4059,21
09/01/2020,Lancaster,Nebraska,31109,4117,21
09/02/2020,Lancaster,Nebraska,31109,4213,21
09/03/2020,Lancaster,Nebraska,31109,4313,21
09/04/2020,Lancaster,Nebraska,31109,4397,21
09/05/2020,Lancaster,Nebraska,31109,4445,21
09/06/2020,Lancaster,Nebraska,31109,4468,21
09/07/2020,Lancaster,Nebraska,31109,4498,21
09/08/2020,Lancaster,Nebraska,31109,4582,21
09/09/2020,Lancaster,Nebraska,31109,4700,22
09/10/2020,Lancaster,Nebraska,31109,4843,22
09/11/2020,Lancaster,Nebraska,31109,5000,22
09/12/2020,Lancaster,Nebraska,31109,5102,22
09/13/2020,Lancaster,Nebraska,31109,5155,22
09/14/2020,Lancaster,Nebraska,31109,5196,22
09/15/2020,Lancaster,Nebraska,31109,5302,22
09/16/2020,Lancaster,Nebraska,31109,5388,23
09/17/2020,Lancaster,Nebraska,31109,5468,24
09/18/2020,Lancaster,Nebraska,31109,5540,24
09/19/2020,Lancaster,Nebraska,31109,5630,24
09/20/2020,Lancaster,Nebraska,31109,5698,24
09/21/2020,Lancaster,Nebraska,31109,5774,24
09/22/2020,Lancaster,Nebraska,31109,5850,24
09/23/2020,Lancaster,Nebraska,31109,5938,24
09/24/2020,Lancaster,Nebraska,31109,6018,24
09/25/2020,Lancaster,Nebraska,31109,6137,24
09/26/2020,Lancaster,Nebraska,31109,6233,24
09/27/2020,Lancaster,Nebraska,31109,6294,24
09/28/2020,Lancaster,Nebraska,31109,6346,24
09/29/2020,Lancaster,Nebraska,31109,6425,24
09/30/2020,Lancaster,Nebraska,31109,6532,24
10/01/2020,Lancaster,Nebraska,31109,6641,24
10/02/2020,Lancaster,Nebraska,31109,6746,24
10/03/2020,Lancaster,Nebraska,31109,6830,24
10/04/2020,Lancaster,Nebraska,31109,6876,24
10/05/2020,Lancaster,Nebraska,31109,6925,26
10/06/2020,Lancaster,Nebraska,31109,6925,26
10/07/2020,Lancaster,Nebraska,31109,7075,30
10/08/2020,Lancaster,Nebraska,31109,7177,30
10/09/2020,Lancaster,Nebraska,31109,7289,30
10/10/2020,Lancaster,Nebraska,31109,7411,31
10/11/2020,Lancaster,Nebraska,31109,7481,31
10/12/2020,Lancaster,Nebraska,31109,7534,32
10/13/2020,Lancaster,Nebraska,31109,7620,32
10/14/2020,Lancaster,Nebraska,31109,7714,32
10/15/2020,Lancaster,Nebraska,31109,7825,33
10/16/2020,Lancaster,Nebraska,31109,7912,35
10/17/2020,Lancaster,Nebraska,31109,8054,35
10/18/2020,Lancaster,Nebraska,31109,8112,35
10/19/2020,Lancaster,Nebraska,31109,8205,37
10/20/2020,Lancaster,Nebraska,31109,8339,39
10/21/2020,Lancaster,Nebraska,31109,8445,41
10/22/2020,Lancaster,Nebraska,31109,8526,42
10/23/2020,Lancaster,Nebraska,31109,8668,42
10/24/2020,Lancaster,Nebraska,31109,8746,42
10/25/2020,Lancaster,Nebraska,31109,8877,43
10/26/2020,Lancaster,Nebraska,31109,8979,43
10/27/2020,Lancaster,Nebraska,31109,9072,43
10/28/2020,Lancaster,Nebraska,31109,9164,45
10/29/2020,Lancaster,Nebraska,31109,9330,45
10/30/2020,Lancaster,Nebraska,31109,9413,45
10/31/2020,Lancaster,Nebraska,31109,9660,45
